Country,Year,SO2
China,2000,24210000
China,2001,24064000
China,2002,24615000
China,2003,27487000
China,2004,30670000
China,2005,32413000
China,2006,33262000
China,2007,32617000
China,2008,31229000
China,2009,31023000
China,2010,29854000
China,2011,29065000
India,2000,5674000
India,2001,5742000
India,2002,5971000
India,2003,6131000
India,2004,6576000
India,2005,6852000
India,2006,7186000
India,2007,7744000
India,2008,8377000
India,2009,9056000
India,2010,9508000
India,2011,10149000
